code,name
JZ,AVIA AB,
5T,AVIACION DEL NOROESTE
AO,AVIACO
5V,AVIAIR AVIATION
AV,AVIANCA COLOMBIA,
RD,AVIANOVA
GU,AVIATECA
2B,B. AIRWAYS (CARGO)
UP,BAHAMASAIR
8B,BAKER AVIATION
LZ,BALKAN BULGARIAN AIRLINES,
BT,BALTIA AIR LINES
TI,BALTIC INTERNATIONAL AIRLINES
PG,BANGKOK AIRWAYS CO
QO,BAR HARBOR AIRLINES
6Q,BARROW AIR
6B,BAXTER AVIATION
DD,BAYU INDONESIA AIR
JV,BEARSKIN LAKE AIR SERVICE
LL,BELL AIR
5B,BELLAIR
CH,BEMIDJI AIRLINES,
8E,BERING AIR
WZ,BERLIN EUROPEAN U.K. 
GQ,BIG SKY AIRLINES,
BG,BIMAN BANGLADESH AIRLINES,
NT,BINTER CANARIES
VB,BIRMINGHAM EUROPEAN AIRWAYS
BV,BOPAIR
3B,BORINQUEN AIR (CARGO)
BO,BOURAQ INDONESIA AIRLINES,
BU,BRAATHENS S.A.F.E
JJ,BRASIL CENTRAL LINHA AEREA REG
DB,BRIT AIR
BY,BRITANNIA AIRWAYS
BA,BRITISH AIRWAYS
RX,BRITISH INDEPENDENT AIRWAYS
UR,BRITISH INT HELICOPTERS
BD,BRITISH MIDLAND AIRWAYS
VF,BRITISH WORLD AIRLINES
BC,BRYMON AVIATION
FR,BURLINGTON AIR EXPRESS 
II,BUSINESS AIR
HQ,BUSINESS EXPRESS,
DR,BUSINESS FLIGHT OF SCANDINAVIA
CT,C.A.V.E
KT,CALEDONIAN AIRWAYS
MO,CALM AIR INT
3C,CAMAI AIR 
UY,CAMEROON AIRLINES
4A,CANADIAN EAGLE AIRLINES
KG,CANAFRICA TRANSPORTES AEREOS
9K,CAPE AIR
6C,CAPE SMYTHE AIR SERVICE
CV,CARGOLUX AIRLINES (CARGO),
OW,CARGOSUR (CARGO)
KW,CARNIVAL AIR LINES 
CX,CATHAY PACIFIC AIRWAYS 
KX,CAYMAN AIRWAYS
GW,CENTRAL AMERICAN AIRLINES,
9M,CENTRAL MOUNTAIN AIR 
BK,CHALK'S/PARADISE ISLAND AIRWAY
NK,CHARTER ONE
CI,CHINA AIRLINES
MU,CHINA EASTERN AIRLINES
CJ,CHINA NORTHERN AIRLINES
WH,CHINA NORTHWEST AIRLINES
CZ,CHINA SOUTHERN AIRLINES
SZ,CHINA SOUTHWEST AIRLINES
JS,CHOSONMINHANG KOREAN AIRWAYS
SX,CHRISTMAN AIR SYSTEM 
QI,CIMBER AIR A/S
CC,CISKEI INTERNATIONAL 
BX,COAST AIR 
DQ,COASTAL AIR TRANSPORT 
LQ,COHLMIA AVIATION (CARGO)
7C,COLUMBIA PACIFIC AIRLINES
OH,COMAIR
MN,COMMERCIAL AIRWAYS 
XK,COMPAGNIE CORSE MEDITERRANEE
CF,COMPANIA DE AVIACION FAUCETT
MX,COMPANIA MEXICANA
YM,COMPASS AIRLINES
4S,CONNER AIR LINES,
5C,CONQUEST AIRLINES
DD,CONTI-FLUG
CO,CONTINENTAL AIRLINES 
KC,COOK ISLANDS INTERNATIONAL
KO,COOK STRAIT SKYFERRY
CM,COPA-COMPANIA PANAMENA DE AVCN
LX,CROSSAIR
SC,CRUZEIRO DO SUL
OK,CSA CZECHOSLOVAK AIRLINES,
CU,CUBANA
CY,CYPRUS AIRWAYS
YK,CYPRUS TURKISH AIRLINES
DA,DAN-AIR SERVICES,
DX,DANAIR A/S
2D,DAWN AIR
9D,DELTA AIR CHARTER
DL,DELTA AIR LINES
DI,DELTA AIR REGIONAL FLUGVERKEHR
LH,DEUTSCHE LUFTHANSA AG. 
ER,DHL AIRWAYS 
UO,DIRECT AIR
DH,DISCOVERY AIRWAYS
DW,DLT DEUTSCHE LUFTVERK. 
YU,DOMINAIR
DO,DOMINICANA
DZ,DOUGLAS AIRWAYS
KA,DRAGONAIR 
KB,DRUK AIR
8D,DULLES EXPRESS
QG,DYNAMIC AIR
EX,EAGLE AVIATION
EW,EAST-WEST AIRLINES 
XZ,EASTAIR (ICELAND)
UN,EASTERN AUSTRALIA AIRLINES
EU,ECUATORIANA 
3D,EDGARTOWN AIR
MS,EGYPTAIR
LY,EL AL ISRAEL AIRLINES
EB,EMERY WORLDWIDE (CARGO)
EK,EMIRATES
EM,EMPIRE AIRLINES
BE,ENTERPRISE AIRLINES
3P,EQUATOR AIRLINES
GJ,EQUATORIAL INT AIR OF SAO TOME
7H,ERA AVIATION
ET,ETHIOPIAN AIRLINES 
RN,EURALAIR INTERNATIONAL 
YQ,EURO AIR HELICOPTER SERVICE AB
EE,EURO BERLIN
EY,EUROPE AERO SERVICE
BR,EVA AIR
OT,EVERGREEN HELICOPTERS ALASKA
EQ,EXCALIBUR AIRWAYS
AD,EXEC EXPRESS
NA,EXECUTIVE AIR CHARTER
FX,EXPRESS AIR 
9E,EXPRESS AIRLINES
IH,FALCON CARGO AB.,
EF,FAR EASTERN AIR TRANSPORT,
UD,FAST AIR CARRIER (CARGO)
FM,FEDERAL EXPRESS CORP. (CARGO) 
PC,FIJI AIR
AY,FINNAIR,
FA,FINNAVIATION
7F,FIRST AIR 
9R,FLAGSHIP EXPRESS SERV (CARGO) 
FK,FLAMENCO AIRWAYS,
IX,FLANDRE AIR 
VV,FLEXAIR
EC,FLIGHT LINE 
YC,FLIGHT WEST AIRLINES 
GM,FLITESTAR
OP,FLYING BOAT 
FT,FLYING TIGER LINE (CARGO)
GE,FOSHING AIRLINES
ZU,FREEDOM AIR 
3F,FRESH AIR CORP. (CARGO)
WR,FRIENDLY ISLANDS AIRWAYS
SI,FRIESENFLUG
4F,FRONTIER AIR
2F,FRONTIER FLYING SERVICE
GO,GAMBIA AIR SHUTTLE 
CK,GAMBIA AIRWAYS
GA,GARUDA INDONESIAN AIRWAYS
GT,GB AIRWAYS
GP,GEMINI (CARGO)
GH,GHANA AIRWAYS CORPORATION,
9C,GILL AVIATION 
DC,GOLDEN AIR COMMUTER
LK,GOLDFIELDS AIR SERVICES
8G,GP EXPRESS AIRLINES INC.
QD,GRAND AIRWAYS 
YE,GRAND CANYON AIRLINES
ZK,GREAT LAKES AVIATION 
WK,GREEN AIR (CHARTER)
GL,GREENLANDAIR (GRONLANDSFLY) 
GF,GULF AIR
XF,GULF FLITE CENTER
3M,GULFSTREAM INTERNATIONAL A/L
GY,GUYANA AIRWAYS CORPORATION
7A,HAINES AIRWAYS
TV,HAITI TRANS AIR
WD,HAITIAN AVIATION LINE
HX,HAMBURG AIRLINES,
VN,HANG KHONG VIETNAM 
4H,HANNA'S AIR SALTSPRING
8H,HARBOR AIR SERVICE 
HG,HARBOR AIRLINES
HA,HAWAIIAN AIRLINES
ZL,HAZELTON AIRLINES
YO,HELI AIR MONACO
OI,HELI TRANSPORT
MY,HELIFRANCE
IU,HELIFRANS AIR SERVICE
CN,HELIJET
JB,HELIJET AIRWAYS
2E,HERMANS/MARKAIR EXPRESS
ZS,HISPANIOLA AIRWAYS (CARGO)
HJ,HOLMSTROEM AIR AB
QX,HORIZON AIRLINES,
AK,HUNTING CARGO AIRLINES
HZ,HUTCHINSON AIR (CARGO)
IB,IBERIA
FI,ICELANDAIR FLUGLEIDIR
LS,ILIAMNA AIR TAXI
IC,INDIAN AIRLINES
ND,INTAIR
RS,INTERCONTINENTAL DE AVIACION
IF,INTERFLUG
IQ,INTEROT AIR SERVICES
IR,IRAN AIR
IA,IRAQI AIRWAYS 
4M,ISLAND AIR
AK,ISLAND AIRSA
IS,ISLAND AIRLINES
2S,ISLAND EXPRESS
2N,ISLANDER AIR/AIR NEWARK
WC,ISLENA AIRLINES
FW,ISLES OF SCILLY SKYBUS
IL,ISTANBUL AIRLINES
LN,JAMAHIRIYA LIBYAN ARAB AIRLINE
JN,JAPAN AIR COMMUTER
JL,JAPAN AIR LINES
JD,JAPAN AIR SYSTEM,
EG,JAPAN ASIA AIRWAYS 
JT,JARO INTERNATIONAL
JU,JAT YUGOSLAV AIRLINES
JY,JERSEY EUROPEAN AIRWAYS
JX,JES AIR
9W,JET AIRWAYS (INDIA) LTD
JI,JET EXPRESS 
8J,JETALL
DK,KAMPUCHEA AIRLINES
KR,KARAIR
6K,KEEWATIN AIR
KD,KENDELL AIRLINES,
5K,KENMORE AIR
4K,KENN BOREK AIR
KQ,KENYA AIRWAYS 
6S,KETCHIKAN AIR SERVICE
HE,KEYSTONE AIR SERVICE
2K,KITTY HAWK AIRWAYS (CARGO)
KL,KLM CITYHOPPER (KLM COMMUTER)
KL,KLM ROYAL DUTCH AIRLINES
KE,KOREAN AIR
2Y,KOYUKON AIR
KU,KUWAIT AIRWAYS
KH,KYRNAIR
4X,L'EXPRESS AIRLINES 
JF,L.A.B. FLYING SERVICE
7J,L.A.P.S.A
WJ,LABRADOR AIRWAYS,
LR,LACSA
LD,LADE (LINEAS AER DEL ESTADO)
UC,LADECO
7L,LAKE UNION AIR SERVICE 
TM,LAM-LINHAS AEREAS MOCAMBIQUE
LA,LAN-CHILE 
QV,LAO AVIATION
PZ,LAP(LINEAS AEREAS PARAGUAYAS) 
MJ,LAPA 
TH,LAR TRANSREGIONAL
7K,LARRY'S FLYING SERVICE
TQ,LAS VEGAS AIRWAYS
NG,LAUDA AIR 
LV,LAV LINEA AERO VENEZOLANA,
QL,LESOTHO AIRWAYS
LI,LIAT 
QB,LIGNES AERIENNES INTER-QUEBEC 
GC,LINA CONGO
RT,LINCOLN AIRLINES
LC,LINEAS AER DEL CARIBE (CARGO) 
LF,LINJEFLYG 
JK,LINK AIRWAYS
LE,LINK AIRWAYS (SOUTH AFRICA)
TE,LITHUANIAN AIRLINES
LB,LLOYD AEREO BOLIVIANO
LC,LOGANAIR
YL,LONG ISLAND AIRLINES LTD
LO,LOT POLISH AIRLINES
L2,LOVE AIR
LT,LTU INTERNATIONAL AIRWAYS
LG,LUXAIR LUXEMBOURG AIRLINES
CD,M.K. AIRLINES
3R,MACAIR
MT,MACKNIGHT AIRLINES
DM,MAERSK AIR (DANISH AIRLINES)
2J,MAJESTIC AIRLINES (CARGO)
MH,MALAYSIA AIRLINES
MA,MALEV HUNGARIAN AIRLINES
FH,MALI AIRWAYS
HB,MALI-TINBOUCTOU AIR SERVICE 
6E,MALMO AVIATION
JE,MANX AIRLINES INC. 
BF,MARKAIR,
MP,MARTINAIR HOLLAND NV
MW,MAYA AIRWAYS
IG,MERIDIANA 
MZ,MERPATI NUSANTARA AIRLINES
YV,MESA AIRLINES 
XJ,MESABA AIRLINES
HY,METRO AIRLINES
FY,METROFLIGHT AIRLINES
MG,MGM GRAND AIR
ME,MIDDLE EAST AIRLINES 
ML,MIDWAY AIRLINES
WV,MIDWEST AVIATION,
YX,MIDWEST EXPRESS AIRLINES
IW,MINERVE
FS,MISSIONARY AVIATION FELLOWSHIP
ZO,MOHAWK AIRLINES
ZB,MONARCH AIRLINES
NM,MOUNT COOK LINE OF NEW ZEALAND
ZR,MUK AIR,
UB,MYANMA AIRWAYS CORPORATION
JO,N.V LUCHTVAARTMAATSCHAPPIJ TWN
NJ,NAMAKWALAND LUGDIENS
DV,NANTUCKET AIRLINES
8N,NASHVILLE EAGLE
HC,NASKE AIR
NX,NATIONAIR CANADA,
YJ,NATIONAL AIRLINES
9L,NATIONAL CAPITAL AIRWAYS
XV,NATURE ISLAND EXPRESS
EJ,NEW ENGLAND AIRLINES 
HD,NEW YORK HELICOPTER CORP
WA,NEWAIR
NS,NFD LUFTVERKEHRS,
WT,NIGERIA AIRWAYS
KZ,NIPPON CARGO AIRLINES
FN,NIUE AIRLINES
HN,NLM DUTCH AIRLINES 
HK,NOBLE AIR
JH,NORDESTA LINHAS AER REG
EO,NORDIC & SWEDEN AIRWAYS
UI,NORLANDAIR (ICELAND)
NR,NORONTAIR 
NC,NORSKAIR
HW,NORTH-WRIGHT AIR
5N,NORTHCOAST EXECUTIVE AIRLINES 
2V,NORTHEAST EXPRESS REGIONAL
RU,NORTHERN COMMUTER AIRLINES
NW,NORTHWEST AIRLINES 
NV,NORTHWEST TERRITORIAL AIRWAYS 
3E,NORTHWESTERN AIR LEASE
JA,NORWAY AIRLINES
6N,NUNASI-NORTHLAND AIRLINES
LP,NYGE-AERO
5H,ODIN AIR
4B,OLSON AIR SERVICE
OL,OLT OSTFRIESISCHE LUFTRANSPORT
OA,OLYMPIC AIRWAYS
WY,OMAN AVIATION SERVICES 
9X,ONTARIO EXPRESS
VQ,OXLEY AIRLINES
RI,P.T MANDALA AIRLINES
PQ,PACIFIC COAST AIRLINES 
8P,PACIFIC COASTAL AIRLINES
2W,PACIFIC MIDLAND AIRLINES
PK,PAKISTAN INT AIRLINE
PV,PANORAMA AIR
HI,PAPILLON AIRWAYS
9P,PELANGI AIR
PD,PEM AIR,
KS,PENINSULA AIRWAYS
4P,PEOPLES AIR 
UW,PERIMETER AIRLINES 
PR,PHILIPPINE AIRLINES
NP,PICCOLO AIRLINES
PU,PLUNA URUGUAYIAN AIRLINES,
WO,POLARWING
PH,POLYNESIAN AIRLINES
NI,PORTUGALIA
2P,PRAIRIE FLYING SERVICE 
RP,PRECISION AIRLINES
FB,PROMAIR AUSTRALIA
YS,PROTEUS
AG,PROVINCIAL AIRWAYS 
PE,PROVINICIAL AIR SERVICES
5P,PTARMIGAN AIRWAYS
QF,QANTAS AIRWAYS
QJ,QUEENSLAND PACIFIC AIRLINES
QH,QWESTAIR
4R,RAVEN AIR
7R,REDWING AIRWAYS
RV,REEVE ALEUTIAN AIRWAYS 
7S,REGION AIR
WE,RHEINTALFLUG SEEWALD 
6R,RICHARDS AVIATION (CARGO),
SL,RIO-SUL SERVICOS AEREOS REGION
IK,ROADAIR FEEDER SERVICE
JC,ROCKY MOUNTAIN AIRWAYS 
ZD,ROSS AVIATION
WI,ROTTNEST AIRBUS
5R,ROVER AIRWAYS (CARGO)
RR,ROYAL AIR FORCE
AT,ROYAL AIR MAROC
BI,ROYAL BRUNEI AIRLINES
RJ,ROYAL JORDANIAN AIRLINE
RA,ROYAL NEPAL AIRLINES 
ZC,ROYAL SWAZI NATIONAL AIRWAYS
XY,RYAN AIR (ALASKA)
FR,RYANAIR
ZG,SABAIR AIRLINES
SN,SABENA WORLD 
9S,SABOURIN LAKE AIRWAYS
EH,SAETA
KP,SAFAIR
SH,SAHSA
8S,SALAIR (CARGO)
YD,SALAIR AB 
TS,SAMOA AVIATION
WB,SAN
BB,SANSA
UF,SARO AIRLINES
SP,SATA AIA ACORES
ZT,SATENA
SV,SAUDI ARABIAN 
SK,SCANDINAVIAN AIRLINES
SY,SCANJET
YR,SCENIC AIRLINES
ZM,SCIBE AIRLIFT 
WW,SCOTTISH EUROPEAN AIRWAYS
RW,SEAIR PACIFIC
XT,SECTOR AIRLINES (CARGO)
8L,SERVICIO AEREO LEO LOPEZ
2Z,SERVICIOS AEREOS LITORAL
VC,SERVIVENSA
SS,SHABAIR
NL,SHAHEEN AIR INTERNATIONAL,
3S,SHUSWAP FLIGHT CENTRE
MI,SILKAIR
MQ,SIMMONS AIRLINES
7B,SIMPSON AIR 
SQ,SINGAPORE AIRLINES 
5U,SKAGWAY AIR SERVICE
OO,SKY WEST AIRLINES
9F,SKYCRAFT AIR TRANSPORT 
8M,SKYMASTER 
YT,SKYWEST AIRLINES,
HU,SLOV-AIR
MM,SOCIEDAD AERONAUTICA MEDELLIN 
IE,SOLOMON ISLANDS AIRLINES
HH,SOMALI AIRLINES
SA,SOUTH AFRICAN AIRWAYS
XE,SOUTH CENTRAL AIR
SG,SOUTHEAST AIRLINES LIMITED
SJ,SOUTHERN AIR TRANPORT (CARGO) 
NU,SOUTHWEST AIRLINES (JAPAN)
WN,SOUTHWEST AIRLINES (U.S.A.)
YW,STATESWEST AIRLINES
NB,STERLING AIRWAYS,
CB,SUCKLING AIRWAYS,
SD,SUDAN AIRWAYS
VL,SUN PACIFIC AIRLINES
EZ,SUN-AIR OF SCANDINAVIA
PI,SUNFLOWER AIRLINES 
OC,SUNSHINE AVIATION
OF,SUNSTATE AIRLINES
PY,SURINAM AIRWAYS
JG,SWEDAIR,
SR,SWISSAIR TRANSPORT COMPANY
FD,SYDNEY AIRLINES
RB,SYRIAN ARAB AIRLINES 
EQ,T.A.M.E.
DT,TAAG ANGOLA AIRLINES 
TA,TACA INTERNATIONAL AIRLINES 
CQ,TAHITI CONQUEST AIRLINES
GV,TALAIR
KK,TAM
QT,TAMPA AIRLINES (CARGO) 
TX,TAN AIRLINES
4E,TANANA AIR SERVICE
TP,TAP AIR PORTUGAL,
9Q,TAQUAN AIR SERVICE
RO,TAROM ROMANIAN AIR TRANSPORT
TJ,TAS AIRWAYS S.P.A
3K,TATONDUK AIR SERVICE
QS,TATRA AIR
CL,TEMPLEHOF AIRWAYS U.S.A.
KN,TEMSCO HELICOPTERS 
TG,THAI AIRWAYS INTERNATIONAL
LU,THERON AIRWAYS
AB,TORRES AIR
NC,TOWER AIR
YB,TRANS CONTINENTAL A/L (CARGO) 
7T,TRANS COTE
JQ,TRANS JAMAICAN AIRLINES
TL,TRANS MEDITERRAREAN AIR(CARGO)
4Q,TRANS NORTH AVIATION
9N,TRANS STATES AIRLINES
TW,TRANS WORLD AIRLINES
HV,TRANSAVIA AIRLINES 
TD,TRANSAVIO
TR,TRANSBRASIL S/A LINHAS AEREAS
KV,TRANSKEI AIRWAYS,
IO,TRANSPORT AERIEN TRANS EXPORT 
IJ,TRANSPORT AERIEN TRANSREGIONAL
VR,TRANSPORTES AEREOS CABO VERDE 
GD,TRANSPORTES AEREOS EJECUTIVOS 
VW,TRANSPORTES AEROMAR
YZ,TRANSPORTES DE GUINE BISSAU 
8T,TRAVELAIR
BW,TRINIDAD & TOBAGO BWIA INT
PM,TROPIC AIR
BN,TROPICAL SEA AIRLINES
TB,TRUMP SHUTTLE 
UG,TUNINTER
TU,TUNIS AIR 
TT,TUNISAVIA
TK,TURKISH AIRLINES,
KT,TURTLE AIRWAYS
6T,TYEE AIRWAYS
VO,TYROLEAN AIRWAYS,
QU,UGANDA AIRLINES CORPORATION 
PS,UKRAINE INTERNATIONAL AIRLINES
UA,UNITED AIRLINES
5X,UNITED PARCEL SERVICE (CARGO) 
9U,UNIVERSAL AIRLINES (CARGO)
US,USAIR
UT,UTA
5J,VALUJET
RG,VARIG BRAZILIAN AIRLINES
VP,VASP 
PF,VAYUDOOT
VA,VENEZUELAN INTL AIRWAYS
VI,VIEQUES AIR LINK,
ZP,VIRGIN AIR
VS,VIRGIN ATLANTIC AIRWAYS
FV,VIVA AIR
4V,VOYAGEUR AIRWAYS,
J7,Valuejet
3V,WAGLISLA AIR
XW,WALKERS CAY AIRLINE
4W,WARBELOW'S AIR VENTURES
KY,WATERWINGS AIRWAYS (TE ANAU)
KJ,WEST AIR EXECUTIVE
3L,WEST ISLE AIR
OE,WESTAIR COMMUTER AIRLINES,
WS,WESTATES AIRLINES
MB,WESTERN AIRLINES
FO,WESTERN NEW SOUTH WALES AIR
WF,WIDEROE'S FLYVESELSKAP 
8F,WILBURS FLIGHT OPERATIONS,
6W,WILDERNESS AIRLINE (5)
WM,WINDWARD ISLANDS AIRWAYS
WQ,WINGS AIRWAYS 
SE,WINGS OF ALASKA
RM,WINGS WEST AIRLINES
WG,WORLDWAYS CANADA LTD
8R,WRA
8V,WRIGHT AIR SERVICE
MF,XIAMEN AIRLINES
XO,XINJIANG AIRLINES
ST,YANDA AIRLINES
IY,YEMEN AIRWAYS 
9Y,YUTANA AIRLINES
4Y,YUTE AIR ALASKA
QZ,ZAMBIA AIRWAYS
ZA,ZAS AIRLINES OF EGYPT
OD,ZULIANA DE AVIACION (CARGO)
